substantiated,mos_age_incident,Officer_Female,Officer_Male,Officer_American Indian,Officer_Asian,Officer_Black,Officer_Hispanic,Officer_White,Captain,Deputy Inspector,Detective,Inspector,Lieutenant,Police Officer,Sergeant,processing_days,Abuse of Authority,Discourtesy,Force,Offensive Language,complainant_age_incident,complainant_Female,complainant_Gender non-conforming,complainant_Male,complainant_Not described,complainant_Transman (FTM),complainant_Transwoman (MTF),complainant_American Indian,complainant_Asian,complainant_Black,complainant_Hispanic,complainant_Other Race,complainant_Refused,complainant_Unknown,complainant_White
1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,153,0,0,1,0,21.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,153,0,0,1,0,21.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,153,0,0,1,0,21.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,153,0,0,1,0,21.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,92,1,0,0,0,35.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,39,0,1,0,0,0,0,1,0,0,0,0,0,1,0,214,1,0,0,0,21.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,39,0,1,0,0,0,0,1,0,0,0,0,0,1,0,214,1,0,0,0,21.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,39,0,1,0,0,0,0,1,0,0,0,0,0,1,0,214,1,0,0,0,21.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,39,0,1,0,0,0,0,1,0,0,0,0,0,1,0,214,1,0,0,0,26.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,39,0,1,0,0,0,0,1,0,0,0,0,0,1,0,214,1,0,0,0,21.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,35,0,1,0,0,1,0,0,0,0,0,0,0,1,0,215,1,0,0,0,38.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,304,1,0,0,0,41.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,41,0,1,0,0,1,0,0,0,0,0,0,0,1,0,396,0,0,1,0,44.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,44,0,1,0,0,1,0,0,0,0,0,0,0,1,0,426,0,0,1,0,53.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,24,0,1,0,0,0,0,1,0,0,0,0,0,1,0,305,0,0,1,0,32.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,183,0,0,1,0,44.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,22,0,1,0,0,0,0,1,0,0,0,0,0,1,0,212,0,0,1,0,24.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,366,1,0,0,0,22.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,41,0,1,0,0,0,1,0,0,0,0,0,0,1,0,59,1,0,0,0,51.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,41,0,1,0,0,0,1,0,0,0,0,0,0,1,0,153,0,0,1,0,16.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,40,0,1,0,1,0,0,0,0,0,0,0,0,1,0,153,1,0,0,0,30.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,25,1,0,0,0,0,1,0,0,0,0,0,0,1,0,365,1,0,0,0,50.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,25,1,0,0,0,0,1,0,0,0,0,0,0,1,0,365,1,0,0,0,50.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,25,1,0,0,0,0,1,0,0,0,0,0,0,1,0,365,0,1,0,0,50.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,25,1,0,0,0,0,1,0,0,0,0,0,0,1,0,365,1,0,0,0,50.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,33,0,1,0,0,0,1,0,0,0,0,0,0,1,0,153,1,0,0,0,31.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,34,0,1,0,0,0,1,0,0,0,0,0,0,1,0,274,1,0,0,0,49.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,28,1,0,0,0,1,0,0,0,0,0,0,0,1,0,121,1,0,0,0,40.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,28,1,0,0,0,1,0,0,0,0,0,0,0,1,0,121,1,0,0,0,40.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,28,1,0,0,0,1,0,0,0,0,0,0,0,1,0,121,1,0,0,0,40.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,28,1,0,0,0,1,0,0,0,0,0,0,0,1,0,121,1,0,0,0,40.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,28,1,0,0,0,1,0,0,0,0,0,0,0,1,0,121,1,0,0,0,40.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,30,1,0,0,0,1,0,0,0,0,0,0,0,1,0,274,1,0,0,0,49.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,306,1,0,0,0,41.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,306,1,0,0,0,36.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,306,1,0,0,0,41.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,306,1,0,0,0,36.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,306,1,0,0,0,36.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,27,0,1,0,0,0,0,1,0,0,0,0,0,1,0,212,1,0,0,0,29.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,273,1,0,0,0,30.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,273,1,0,0,0,29.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,273,1,0,0,0,29.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,212,1,0,0,0,41.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,212,1,0,0,0,41.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,212,1,0,0,0,31.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,36,0,1,0,0,1,0,0,0,0,0,0,0,1,0,426,1,0,0,0,28.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
